from,to,time,amount,type,notes
"PickleMan","Po8","2012-11-29 18:06:31","3.840000","BUY","myrto"
"Flashplayerman","Po8","2012-11-29 18:13:09","282.880000","BUY","myrto"
"CertifedCupcake","PickleMan","2012-11-29 18:18:31","125.000000","P2P_TRANSFER","--"
"PickleMan","littlevoecks","2012-11-29 18:24:39","25.000000","P2P_TRANSFER","--"
"CertifedCupcake","PickleMan","2012-11-29 18:27:30","65.000000","P2P_TRANSFER","--"
"littlevoecks","PickleMan","2012-11-29 18:29:22","63.000000","P2P_TRANSFER","--"
"Po8","littlevoecks","2012-11-29 18:45:56","33.775000","SELL","myrto"
"Po8","Ulcano","2012-11-29 18:49:12","221.185000","SELL","Megleris"
"Megleris","RogueHaven","2012-11-29 19:06:08","760.000000","P2P_TRANSFER","--"
"PickleMan","Po8","2012-11-29 19:24:05","2578.050000","BUY","dotlizard"
"CertifedCupcake","Po8","2012-11-29 20:00:53","30.000000","BUY","Butlerlog"
"Po8","CertifedCupcake","2012-11-29 21:08:20","141.120000","SELL","Butlerlog"
"CertifedCupcake","Po8","2012-11-29 21:35:47","45.000000","BUY","Butlerlog"
"PickleMan","Po8","2012-11-29 22:05:13","311.040000","BUY","Megleris"
"Sharkd","Po8","2012-11-29 22:06:33","830.080000","BUY","Pyrotek"
"PickleMan","Po8","2012-11-29 22:17:44","898.560000","BUY","Megleris"
"Po8","Van_Awesome","2012-11-29 22:17:48","762.680000","SELL","Pyrotek"
"Po8","Stanhopes","2012-11-29 22:23:55","16.500000","SELL","Megleris"
"Po8","CertifedCupcake","2012-11-29 22:25:00","31.000000","SELL","Megleris"
"RogueHaven","thurdog","2012-11-29 23:30:28","1000.000000","P2P_TRANSFER","--"
"Lygarine","Po8","2012-11-30 02:43:15","311.040000","BUY","dotlizard"
"Lygarine","Po8","2012-11-30 03:23:02","933.120000","BUY","dotlizard"
"thurdog","Po8","2012-11-30 07:07:44","5324.000000","BUY","Pyrotek"
"Po8","Lygarine","2012-11-30 07:07:47","1866.240000","SELL","Pyrotek"
"Po8","Lygarine","2012-11-30 07:07:50","1866.240000","SELL","Pyrotek"
"Po8","Lygarine","2012-11-30 07:07:53","1866.240000","SELL","Pyrotek"
"Po8","Lygarine","2012-11-30 07:07:57","1036.800000","SELL","Pyrotek"
"Po8","Lygarine","2012-11-30 07:08:00","933.120000","SELL","Pyrotek"
"Po8","KorusRay","2012-11-30 10:38:16","3660.125000","SELL","Butlerlog"
"Po8","KorusRay","2012-11-30 10:39:19","71.790000","SELL","Butlerlog"
"Po8","Lygarine","2012-11-30 13:00:39","158.400000","SELL","Megleris"
"Po8","Lygarine","2012-11-30 13:00:43","95.040000","SELL","Megleris"
"blacknbluedragon","Po8","2012-11-30 14:16:49","311.040000","BUY","Megleris"
"CertifedCupcake","Po8","2012-11-30 15:28:47","31.360000","BUY","The_Lorax"
"Po8","CertifedCupcake","2012-11-30 15:32:32","31.250000","SELL","The_Lorax"
"CertifedCupcake","Po8","2012-11-30 15:33:04","32.000000","BUY","The_Lorax"
"Po8","CertifedCupcake","2012-11-30 15:44:58","83.295000","SELL","The_Lorax"
"Sierra_G_117","Po8","2012-11-30 16:30:35","156.150000","BUY","The_Lorax"
"GreatRevival","Po8","2012-11-30 16:34:44","450.000000","BUY","myrto"
"Tengoku_Furasshu","PickleMan","2012-11-30 17:24:48","500.000000","P2P_TRANSFER","--"
"bones9302","PickleMan","2012-11-30 17:40:56","2500.000000","P2P_TRANSFER","--"
"Po8","Evil_K9","2012-11-30 17:44:54","103.680000","SELL","Butlerlog"
"Po8","bones9302","2012-11-30 17:45:00","12645.760000","SELL","Butlerlog"
"Flashplayerman","Po8","2012-11-30 18:13:29","16.000000","BUY","Butlerlog"
"Po8","Ulcano","2012-11-30 18:26:30","143.050000","SELL","Pyrotek"
"Po8","Ulcano","2012-11-30 19:26:21","356.480000","SELL","Pyrotek"
"GreatRevival","Po8","2012-11-30 19:53:32","2116.000000","BUY","The_Lorax"
"Po8","CertifedCupcake","2012-11-30 19:54:58","1173.375000","SELL","SpokenSquid"
"GreatRevival","Po8","2012-11-30 19:56:55","1863.000000","BUY","The_Lorax"
"GreatRevival","Po8","2012-11-30 19:58:39","3505.000000","BUY","The_Lorax"
"Sierra_G_117","greypo","2012-11-30 21:43:33","550.000000","P2P_TRANSFER","--"
"Po8","Sierra_G_117","2012-11-30 21:47:23","31.680000","SELL","Butlerlog"
"greypo","Po8","2012-11-30 22:09:05","556.370000","BUY","Butlerlog"
"Po8","greypo","2012-11-30 22:11:13","88.880000","SELL","Butlerlog"
"Po8","Flashplayerman","2012-11-30 22:12:30","10.210000","SELL","Butlerlog"
"Po8","Sierra_G_117","2012-11-30 23:01:56","77.440000","SELL","Pyrotek"
"Po8","greypo","2012-11-30 23:41:48","12.220000","SELL","Pyrotek"
"thurdog","Po8","2012-11-30 23:41:51","1415.320000","BUY","Pyrotek"
"PeebleTheory","greypo","2012-12-01 04:14:59","108.000000","P2P_TRANSFER","--"
"nick8041","Po8","2012-12-01 04:57:09","6.700000","BUY","atlasrune"
"veechee","Po8","2012-12-01 04:57:15","22.500000","BUY","atlasrune"
"GreatRevival","Po8","2012-12-01 07:40:24","28.800000","BUY","The_Lorax"
"GreatRevival","Po8","2012-12-01 07:40:32","32.440000","BUY","The_Lorax"
"franlk","Po8","2012-12-01 07:40:39","39.680000","BUY","The_Lorax"
"blacknbluedragon","Po8","2012-12-01 08:58:57","311.040000","BUY","Pyrotek"
"Stagen","Po8","2012-12-01 09:45:21","272.300000","BUY","The_Lorax"
"Po8","Lygarine","2012-12-01 09:45:27","112.640000","SELL","The_Lorax"
"GreatRevival","Po8","2012-12-01 09:48:58","6454.000000","BUY","The_Lorax"
"Po8","blacknbluedragon","2012-12-01 09:50:11","3275.220000","SELL","The_Lorax"
"GreatRevival","Po8","2012-12-01 10:28:23","4945.050000","BUY","Megleris"
"Po8","Megleris","2012-12-01 10:35:56","24814.080000","SELL","Butlerlog"
"GreatRevival","Po8","2012-12-01 10:37:50","3590.000000","BUY","Butlerlog"
"blacknbluedragon","Po8","2012-12-01 11:46:29","311.040000","BUY","Megleris"
"KorusRay","Sierra_G_117","2012-12-01 12:26:07","1000.000000","P2P_TRANSFER","--"
"Sierra_G_117","Po8","2012-12-01 12:39:14","311.360000","BUY","The_Lorax"
"Po8","atlasrune","2012-12-01 12:49:50","192.105000","SELL","The_Lorax"
"PickleMan","slimjim548","2012-12-01 13:04:22","25.000000","P2P_TRANSFER","--"
"Sierra_G_117","Po8","2012-12-01 13:52:09","1959.200000","BUY","Megleris"
"Po8","greypo","2012-12-01 14:35:23","37.440000","SELL_DENIED","atlasrune | Noyoudon'tplease."
"Po8","blacknbluedragon","2012-12-01 16:05:37","0.375000","SELL","The_Lorax"
"GreatRevival","Po8","2012-12-01 16:05:38","32.500000","BUY","Megleris"
"Po8","blacknbluedragon","2012-12-01 16:05:44","8.660000","SELL","The_Lorax"
"Po8","blacknbluedragon","2012-12-01 16:06:16","1.145000","SELL","Butlerlog"
"Po8","blacknbluedragon","2012-12-01 16:06:29","3.120000","SELL","Butlerlog"
"Po8","blacknbluedragon","2012-12-01 16:08:22","85.995000","SELL","Butlerlog"
"CertifedCupcake","Po8","2012-12-01 16:08:24","39.800000","BUY","Pyrotek"
"blacknbluedragon","Po8","2012-12-01 17:08:39","311.040000","BUY","Megleris"
"Po8","Stanhopes","2012-12-01 17:08:44","35.170000","SELL","myrto"
"Po8","Megleris","2012-12-01 17:21:52","37.180000","SELL","Megleris"
"Ekardsille","Po8","2012-12-01 17:21:55","78.100000","BUY","Megleris"
"Po8","PickleMan","2012-12-01 17:27:55","2557.590000","SELL","myrto"
"Po8","Van_Awesome","2012-12-01 17:29:09","29.555000","SELL","Butlerlog"
"Po8","blacknbluedragon","2012-12-01 17:32:25","0.640000","SELL","Butlerlog"
"Po8","PickleMan","2012-12-01 17:33:09","147.260000","SELL","Butlerlog"
"Stagen","myrto","2012-12-01 17:35:22","1040.000000","P2P_TRANSFER","--"
"Po8","PickleMan","2012-12-01 17:35:52","506.095000","SELL","Butlerlog"
"Po8","PickleMan","2012-12-01 17:37:08","1214.820000","SELL","Butlerlog"
"Po8","PickleMan","2012-12-01 17:41:52","685.950000","SELL","Butlerlog"
"Po8","PickleMan","2012-12-01 17:41:56","256.245000","SELL","Butlerlog"
"Po8","PickleMan","2012-12-01 17:42:38","18.555000","SELL","Butlerlog"
"Po8","greypo","2012-12-01 17:46:05","152.750000","SELL","Butlerlog"
"Po8","PickleMan","2012-12-01 17:47:16","531.880000","SELL","Butlerlog"
"Po8","greypo","2012-12-01 17:55:01","1.690000","SELL","Butlerlog"
"PickleMan","Po8","2012-12-01 18:21:33","183.680000","BUY","Butlerlog"
"Po8","PickleMan","2012-12-01 18:22:14","23.005000","SELL","Butlerlog"
"Po8","Megleris","2012-12-01 18:39:32","52.850000","SELL","Megleris"
"Sierra_G_117","Po8","2012-12-01 18:39:34","694.000000","BUY","Butlerlog"
"Po8","CertifedCupcake","2012-12-01 18:41:36","637.560000","SELL_DENIED","Megleris | He's going to sell it to megnub instead"
"Megleris","CertifedCupcake","2012-12-01 18:45:08","1050.000000","P2P_TRANSFER","--"
"CertifedCupcake","Po8","2012-12-01 18:54:50","120.200000","BUY","Megleris"
"Po8","PickleMan","2012-12-01 19:09:25","72.130000","SELL","Altimeter"
"Po8","Polarisknife","2012-12-01 19:24:13","95.400000","SELL","Altimeter"
"Po8","PickleMan","2012-12-01 19:36:49","65.035000","SELL","The_Lorax"
"Flashplayerman","PickleMan","2012-12-01 19:41:17","100.000000","P2P_TRANSFER","--"
"PickleMan","RogueHaven","2012-12-01 19:41:25","10.000000","P2P_TRANSFER","--"
"CertifedCupcake","PickleMan","2012-12-01 19:41:28","100.000000","P2P_TRANSFER","--"
"PickleMan","RogueHaven","2012-12-01 19:41:41","10.000000","P2P_TRANSFER","--"
"Po8","PickleMan","2012-12-01 19:52:11","30.680000","SELL","The_Lorax"
"Po8","Polarisknife","2012-12-01 19:52:17","81.050000","SELL","The_Lorax"
"Polarisknife","Po8","2012-12-01 19:55:33","2401.500000","BUY","The_Lorax"
"PickleMan","Po8","2012-12-01 19:56:38","21.120000","BUY","The_Lorax"
"PickleMan","Po8","2012-12-01 20:13:26","30.720000","BUY","The_Lorax"
"Flashplayerman","Po8","2012-12-01 20:20:25","158.080000","BUY","The_Lorax"
"Po8","Flashplayerman","2012-12-01 20:20:32","12.435000","SELL","The_Lorax"
"jman0504","Po8","2012-12-01 20:46:26","415.540000","BUY","The_Lorax"
"GreatRevival","Po8","2012-12-01 21:15:33","987.520000","BUY","The_Lorax"
"blacknbluedragon","Po8","2012-12-01 21:28:49","1192.000000","BUY","The_Lorax"
"Po8","blacknbluedragon","2012-12-01 21:30:05","0.075000","SELL","The_Lorax"
"PickleMan","greypo","2012-12-01 22:17:54","15.000000","P2P_TRANSFER","--"
"Po8","Altimeter","2012-12-01 22:18:07","4.380000","SELL","Butlerlog"
"Po8","Altimeter","2012-12-01 22:19:58","90.535000","SELL","Butlerlog"
"Altimeter","Po8","2012-12-01 22:20:21","17.000000","BUY","Butlerlog"
"Po8","Altimeter","2012-12-01 22:21:19","8.505000","SELL","Pyrotek"
"Altimeter","Po8","2012-12-01 22:22:28","14.600000","BUY","Pyrotek"
"jman0504","Po8","2012-12-01 22:25:58","419.520000","BUY","Pyrotek"
"Po8","Altimeter","2012-12-01 22:26:04","73.485000","SELL","Pyrotek"
"Altimeter","Po8","2012-12-01 22:31:23","8.850000","BUY","Megleris"
"Altimeter","Po8","2012-12-01 22:37:17","53.760000","BUY","Altimeter"
"Sierra_G_117","Po8","2012-12-01 22:37:23","75.840000","BUY","Altimeter"
"PsYC0t1k","Po8","2012-12-01 22:49:34","444.160000","BUY","Altimeter"
"CertifedCupcake","Po8","2012-12-01 22:49:37","2.570000","BUY","Altimeter"
"Po8","Altimeter","2012-12-01 22:55:13","480.495000","SELL","Altimeter"
"Altimeter","Po8","2012-12-01 22:55:19","48.000000","BUY","Altimeter"
"CertifedCupcake","Po8","2012-12-01 23:01:02","192.000000","BUY","atlasrune"
"Ereh_Dogon","Altimeter","2012-12-01 23:02:09","4.050000","P2P_TRANSFER","--"
"TemperD_Xaon","PickleMan","2012-12-01 23:15:32","100.000000","P2P_TRANSFER","--"
"Po8","CertifedCupcake","2012-12-01 23:15:59","1.320000","SELL","Pyrotek"
"CertifedCupcake","Po8","2012-12-01 23:16:02","12.900000","BUY","Pyrotek"
"PickleMan","LimeyBoy","2012-12-01 23:18:18","50.000000","P2P_TRANSFER","--"
"PickleMan","LimeyBoy","2012-12-01 23:18:29","50.000000","P2P_TRANSFER","--"
"TemperD_Xaon","PickleMan","2012-12-01 23:18:59","100.000000","P2P_TRANSFER","--"
"Po8","Altimeter","2012-12-01 23:20:35","117.705000","SELL","Pyrotek"
"CertifedCupcake","Po8","2012-12-01 23:23:44","12.900000","BUY","Pyrotek"
"Po8","Flashplayerman","2012-12-01 23:23:47","145.420000","SELL","Pyrotek"
"CertifedCupcake","Po8","2012-12-01 23:27:40","30.360000","BUY","Pyrotek"
"CertifedCupcake","Po8","2012-12-01 23:31:00","213.500000","BUY","Pyrotek"
"PickleMan","LimeyBoy","2012-12-01 23:33:01","0.000000","P2P_TRANSFER","--"
"PickleMan","Zar14","2012-12-01 23:33:59","0.000000","P2P_TRANSFER","--"
"PickleMan","TemperD_Xaon","2012-12-01 23:34:23","0.000000","P2P_TRANSFER","--"
"PickleMan","Ereh_Dogon","2012-12-01 23:37:12","100.000000","P2P_TRANSFER","--"
"Po8","PickleMan","2012-12-01 23:38:33","191.435000","SELL","Pyrotek"
"PickleMan","Po8","2012-12-01 23:45:02","2.030000","BUY","Altimeter"
"Po8","Pachirisu","2012-12-02 01:19:31","1438.250000","SELL","Megleris"
"Po8","Megleris","2012-12-02 01:41:50","89.930000","SELL","atlasrune"
"Megleris","shrood","2012-12-02 01:54:32","4950.000000","P2P_TRANSFER","--"
"Megleris","TemperD_Xaon","2012-12-02 01:55:31","500.000000","P2P_TRANSFER","--"
"Megleris","greypo","2012-12-02 01:57:48","400.000000","P2P_TRANSFER","--"
"Ekardsille","Po8","2012-12-02 02:05:05","27.000000","BUY","atlasrune"
"Ekardsille","Po8","2012-12-02 02:05:43","16.000000","BUY","Megleris"
"Ekardsille","Po8","2012-12-02 02:07:26","5.760000","BUY","atlasrune"
"Ekardsille","Po8","2012-12-02 02:11:06","27.000000","BUY","atlasrune"
"Ekardsille","Po8","2012-12-02 02:11:10","5.760000","BUY","atlasrune"
"Po8","DasHuhn","2012-12-02 02:11:16","895.070000","SELL","atlasrune"
"Po8","Megleris","2012-12-02 02:38:00","205.320000","SELL","atlasrune"
"Po8","Megleris","2012-12-02 02:44:14","16.850000","SELL","atlasrune"
"Po8","myrto","2012-12-02 06:51:31","1997.330000","SELL","myrto"
"blacknbluedragon","Po8","2012-12-02 07:42:54","483.840000","BUY","The_Lorax"
"CertifedCupcake","Po8","2012-12-02 09:16:19","33.280000","BUY","PatHeist"
"Po8","jakulern","2012-12-02 09:18:45","19.350000","SELL","myrto"
"Po8","jakulern","2012-12-02 09:54:17","1109.710000","SELL","myrto"
"Po8","CertifedCupcake","2012-12-02 09:55:02","23.980000","SELL","myrto"
"myrto","Po8","2012-12-02 09:58:05","373.760000","BUY","myrto"
"Po8","jakulern","2012-12-02 10:21:41","1252.350000","SELL","The_Lorax"
"jakulern","Po8","2012-12-02 10:21:58","882.000000","BUY","The_Lorax"
"jakulern","Po8","2012-12-02 10:42:42","136.240000","BUY","The_Lorax"
"jakulern","Po8","2012-12-02 10:45:34","578.000000","BUY","The_Lorax"
"Po8","jakulern","2012-12-02 10:48:13","1020.800000","SELL","The_Lorax"
"jakulern","Po8","2012-12-02 10:55:30","3.800000","BUY","Butlerlog"
"GreatRevival","Po8","2012-12-02 10:55:34","298.760000","BUY","Butlerlog"
"CertifedCupcake","Po8","2012-12-02 12:57:14","25.200000","BUY","PatHeist"
"CertifedCupcake","Po8","2012-12-02 12:57:19","16.000000","BUY","PatHeist"
"GreatRevival","Po8","2012-12-02 12:57:28","161.550000","BUY","PatHeist"
"GreatRevival","Po8","2012-12-02 12:57:34","3.650000","BUY","PatHeist"
"Zar14","Po8","2012-12-02 12:57:40","35.200000","BUY","PatHeist"
"Po8","Flashplayerman","2012-12-02 12:57:45","327.030000","SELL","PatHeist"
"Po8","OsamaBinSteve","2012-12-02 12:57:51","340.825000","SELL","PatHeist"
"GreatRevival","Po8","2012-12-02 12:58:02","991.620000","BUY","PatHeist"
"Po8","GreatRevival","2012-12-02 12:58:08","9950.200000","SELL","PatHeist"
"Stagen","Po8","2012-12-02 12:58:14","61.440000","BUY","PatHeist"
"Po8","dotlizard","2012-12-02 12:58:21","2607.360000","SELL","PatHeist"
"GreatRevival","Po8","2012-12-02 13:11:12","164.250000","BUY","Pyrotek"
"Po8","greypo","2012-12-02 13:11:15","37.440000","SELL","Pyrotek"
"greypo","Po8","2012-12-02 13:22:41","42.240000","BUY","The_Lorax"
"greypo","Po8","2012-12-02 13:23:04","85.760000","BUY","The_Lorax"
"GreatRevival","Po8","2012-12-02 13:26:45","148.800000","BUY","The_Lorax"
"GreatRevival","PickleMan","2012-12-02 14:12:20","3000.000000","P2P_TRANSFER","--"
"PickleMan","GreatRevival","2012-12-02 14:12:28","3000.000000","P2P_TRANSFER","--"
"GreatRevival","Po8","2012-12-02 14:16:41","95.760000","BUY","Butlerlog"
"PickleMan","greypo","2012-12-02 14:29:00","15.000000","P2P_TRANSFER","--"
"PickleMan","greypo","2012-12-02 14:51:41","25.000000","P2P_TRANSFER","--"
"PickleMan","thurdog","2012-12-02 14:55:18","1000.000000","P2P_TRANSFER","--"
"Po8","Ulcano","2012-12-02 15:16:40","168.300000","SELL","Butlerlog"
"Po8","Sharkd","2012-12-02 15:16:46","5028.480000","SELL","Butlerlog"
"Po8","Sharkd","2012-12-02 15:16:52","56.160000","SELL","Butlerlog"
"GreatRevival","Po8","2012-12-02 15:30:49","227.840000","BUY","Butlerlog"
"GreatRevival","Po8","2012-12-02 15:33:05","18.250000","BUY","Butlerlog"
"GreatRevival","Po8","2012-12-02 15:34:30","234.240000","BUY","Butlerlog"
"Po8","atlasrune","2012-12-02 16:34:38","666.680000","SELL","Pyrotek"
"PickleMan","Po8","2012-12-02 18:18:07","286.720000","BUY","Megleris"
"PickleMan","Po8","2012-12-02 18:47:31","755.200000","BUY","atlasrune"
"GreatRevival","PickleMan","2012-12-02 18:52:37","1500.000000","P2P_TRANSFER","--"
"PickleMan","Po8","2012-12-02 18:53:54","1203.840000","BUY","Megleris"
"PickleMan","PeebleTheory","2012-12-02 19:00:23","1000.000000","P2P_TRANSFER","--"
"PickleMan","Po8","2012-12-02 19:30:17","259.200000","BUY","dotlizard"
"Po8","Flashplayerman","2012-12-02 20:53:19","77.050000","SELL","Megleris"
"Po8","PickleMan","2012-12-02 21:07:33","390.320000","SELL","Butlerlog"
"Lygarine","PickleMan","2012-12-02 21:33:50","100.000000","P2P_TRANSFER","--"
"Megleris","PickleMan","2012-12-02 21:36:21","1000.000000","P2P_TRANSFER","--"
"Octavian0","Pyrotek","2012-12-02 22:21:12","100.000000","P2P_TRANSFER","--"
"PatHeist","greypo","2012-12-02 23:21:46","300.000000","P2P_TRANSFER","--"
"Po8","bones9302","2012-12-02 23:24:14","992.000000","SELL","Megleris"
"nsanidy","nsanidy","2012-12-02 23:24:46","990138938529.000000","GRANT","--"
"Megleris","LewisGravy","2012-12-02 23:25:33","1600.000000","P2P_TRANSFER","--"
"Megleris","Megleris","2012-12-02 23:37:51","888.900000","GRANT","--"
"Megleris","Po8","2012-12-02 23:38:09","28.880000","BUY","Megleris"
"Megleris","Po8","2012-12-02 23:38:14","888.900000","BUY","Megleris"
"Megleris","PickleMan","2012-12-03 00:34:08","2300.000000","P2P_TRANSFER","--"
"atlasrune","atlasrune","2012-12-03 01:40:17","4800.000000","GRANT","--"
"nick8041","Po8","2012-12-03 01:50:30","24.000000","BUY","Megleris"
"Po8","Lygarine","2012-12-03 01:50:35","190.080000","SELL","Megleris"
"Megleris","Po8","2012-12-03 01:54:07","1048.320000","BUY","atlasrune"
"Po8","Megleris","2012-12-03 01:54:12","75.840000","SELL","atlasrune"
"Po8","Lygarine","2012-12-03 02:07:47","86.020000","SELL","Megleris"
"PickleMan","Po8","2012-12-03 02:36:14","57.750000","BUY","Megleris"
"shrood","TheDesiree","2012-12-03 02:36:41","1000.000000","P2P_TRANSFER","--"
"TheDesiree","PickleMan","2012-12-03 02:37:23","1028.000000","P2P_TRANSFER","--"
"TheDesiree","PickleMan","2012-12-03 02:38:22","1000.000000","P2P_TRANSFER","--"
"shrood","TheDesiree","2012-12-03 02:38:59","500.000000","P2P_TRANSFER","--"
"TheDesiree","PickleMan","2012-12-03 02:39:21","500.000000","P2P_TRANSFER","--"
"atlasrune","PickleMan","2012-12-03 02:41:01","192.000000","P2P_TRANSFER","--"
"myrto","Po8","2012-12-03 06:17:30","516.800000","BUY","myrto"
"Po8","myrto","2012-12-03 09:54:35","109.925000","SELL","M4D_H4TT3R"
"Po8","Howl_Kohaku","2012-12-03 09:55:22","70.300000","SELL","M4D_H4TT3R"
"Po8","KODY24","2012-12-03 10:48:28","1686.600000","SELL","atlasrune"
"Po8","atlasrune","2012-12-03 11:50:55","860.780000","SELL","blackrosebronwen"
"atlasrune","Po8","2012-12-03 11:51:21","2263.800000","BUY","blackrosebronwen"
"atlasrune","Po8","2012-12-03 12:20:24","785.380000","BUY","Butlerlog"
"Sierra_G_117","Po8","2012-12-03 14:23:28","25.520000","BUY","dotlizard"
"Po8","greypo","2012-12-03 14:53:22","95.040000","SELL","Butlerlog"
"Po8","blacknbluedragon","2012-12-03 14:53:26","0.610000","SELL","Butlerlog"
"PickleMan","Po8","2012-12-03 15:38:50","174.080000","BUY","Pyrotek"
"Po8","Sharkd","2012-12-03 15:38:57","627.840000","SELL","dotlizard"
"Po8","Sharkd","2012-12-03 15:39:02","25.920000","SELL","Pyrotek"
"Po8","Sharkd","2012-12-03 15:39:06","51.840000","SELL","dotlizard"
"Casper3641","Po8","2012-12-03 16:09:05","205.400000","BUY","Megleris"
"Po8","Casper3641","2012-12-03 16:19:25","32.670000","SELL","Pyrotek"
"PickleMan","Po8","2012-12-03 16:44:44","516.800000","BUY","M4D_H4TT3R"
"Po8","omnomnom18","2012-12-03 16:54:34","91.110000","SELL","Pyrotek"
"Po8","omnomnom18","2012-12-03 16:55:47","328.065000","SELL","Pyrotek"
"Casper3641","Po8","2012-12-03 16:58:37","65.280000","BUY","Pyrotek"
"Po8","Casper3641","2012-12-03 17:01:08","19.350000","SELL","Pyrotek"
"Lygarine","Po8","2012-12-03 17:48:14","120.960000","BUY","Pyrotek"
"Lygarine","Po8","2012-12-03 18:06:24","3.830000","BUY","Butlerlog"
"Po8","ZirixZero","2012-12-03 18:06:32","611.655000","SELL","Megleris"
"Sharkd","Po8","2012-12-03 18:36:12","2540.090000","BUY","Pyrotek"
"PatHeist","Butlerlog","2012-12-03 18:53:27","813.170000","P2P_TRANSFER","--"
"PickleMan","Po8","2012-12-03 18:53:32","119.040000","BUY","Megleris"
"Butlerlog","Po8","2012-12-03 19:08:29","2364.280000","BUY","Pyrotek"
"Butlerlog","Po8","2012-12-03 19:09:06","16.000000","BUY","Megleris"
"Sharkd","Po8","2012-12-03 19:44:35","527.570000","BUY","Pyrotek"
"Butlerlog","Po8","2012-12-03 19:44:53","2492.140000","BUY","Pyrotek"
"Po8","GreatRevival","2012-12-03 19:45:28","14.660000","SELL","Pyrotek"
"Ulcano","PickleMan","2012-12-03 19:52:38","100.000000","P2P_TRANSFER","--"
"Butlerlog","Butlerlog","2012-12-03 19:56:03","2000.000000","GRANT","--"
